site_id,lat,long
WIL070,37.952075,-122.319783333333
WIL060,37.9532305555556,-122.338558333333
WIL050,37.9620055555556,-122.350930555556
WIL040,37.9606694444444,-122.363666666667
SPA130,37.9559916666667,-122.269902777778
SPA129,37.95559,-122.27021
SPA110,37.96885,-122.290519444444
SPA108,37.9724888888889,-122.30215
SPA103,37.9667083333333,-122.310227777778
SPA260,37.86399,-122.16773
SPA250,37.86557,-122.17415
SPA230,37.87719,-122.18211
SPA231,37.87907,-122.18115
SPA210,37.90417,-122.1894
SPA180,37.89389,-122.20238
SUP030,37.97235,-122.34352
WAL080,37.90509,-122.05779
CEO170,37.93614,-122.06498
WAL045,37.96091,-122.05218
ALH110,38.00082,-122.12967
CEO166,37.97201,-122.06616
CEO160,37.97511,-122.06583
MSH120,37.89272,-121.85461
MSH110,37.8904,-121.84901
MSH100,37.88409,-121.82498
MSH090,37.89041,-121.80266
MSH061,37.92307,-121.71214
MSH050,37.938629,-121.706873
MSH045,37.93809,-121.70714
MSH030,37.96851,-121.682777404784
MSH020,37.99107,-121.696258544921
CEO168,37.97093,-122.06698
WIL200,37.895147,-122.2464039
WIL170,37.904024,-122.259513
BAX030,37.919164,-122.326242
CEO168,37.97093,-122.06698
