creek_id,AnalyteName,observations,num_stations,obv_ratio,prop_acceptable,score,score_2,min_date,max_datae
ALH,Dissolved Oxygen,16,1,16,0.625,Marginal,1,2018-08-24T00:00:00Z,2021-12-17T00:00:00Z
ALH,pH,16,1,16,1,Good,2,2018-08-24T00:00:00Z,2021-12-17T00:00:00Z
ALH,Specific Conductivity,16,1,16,0.0625,Bad,0,2018-08-24T00:00:00Z,2021-12-17T00:00:00Z
ALH,Temperature,16,1,16,1,Good,2,2018-08-24T00:00:00Z,2021-12-17T00:00:00Z
ALH,Turbidity,13,1,13,0.8461538461538461,Marginal,1,2018-09-14T00:00:00Z,2021-12-17T00:00:00Z
MSH,Dissolved Oxygen,70,6,11.666666666666666,0.7857142857142857,Marginal,1,2018-08-25T00:00:00Z,2021-12-14T00:00:00Z
MSH,pH,74,6,12.333333333333334,1,Good,2,2018-08-25T00:00:00Z,2021-12-14T00:00:00Z
MSH,Specific Conductivity,73,6,12.166666666666666,0.1232876712328767,Bad,0,2018-08-25T00:00:00Z,2021-12-14T00:00:00Z
MSH,Temperature,74,6,12.333333333333334,1,Good,2,2018-08-25T00:00:00Z,2021-12-14T00:00:00Z
MSH,Turbidity,10,5,2,0.3,NA,NA,2021-10-26T00:00:00Z,2021-12-14T00:00:00Z
PIN,Dissolved Oxygen,7,2,3.5,0.5714285714285714,NA,NA,2020-11-23T00:00:00Z,2021-12-05T00:00:00Z
PIN,pH,7,2,3.5,1,NA,NA,2020-11-23T00:00:00Z,2021-12-05T00:00:00Z
PIN,Specific Conductivity,7,2,3.5,0,NA,NA,2020-11-23T00:00:00Z,2021-12-05T00:00:00Z
PIN,Temperature,7,2,3.5,1,NA,NA,2020-11-23T00:00:00Z,2021-12-05T00:00:00Z
PIN,Turbidity,1,1,1,1,NA,NA,2021-09-03T00:00:00Z,2021-09-03T00:00:00Z
SPA,Dissolved Oxygen,361,11,32.81818181818182,0.9390581717451524,Good,2,2018-08-16T00:00:00Z,2021-12-16T00:00:00Z
SPA,pH,362,11,32.90909090909091,1,Good,2,2018-08-16T00:00:00Z,2021-12-16T00:00:00Z
SPA,Specific Conductivity,362,11,32.90909090909091,0.09668508287292818,Bad,0,2018-08-16T00:00:00Z,2021-12-16T00:00:00Z
SPA,Temperature,362,11,32.90909090909091,1,Good,2,2018-08-16T00:00:00Z,2021-12-16T00:00:00Z
SPA,Turbidity,207,11,18.818181818181817,0.9178743961352657,Good,2,2019-08-20T00:00:00Z,2021-12-16T00:00:00Z
SRA,Dissolved Oxygen,86,6,14.333333333333334,0.9767441860465116,Good,2,2020-02-13T00:00:00Z,2021-12-17T00:00:00Z
SRA,pH,86,6,14.333333333333334,0.9767441860465116,Good,2,2020-02-13T00:00:00Z,2021-12-17T00:00:00Z
SRA,Specific Conductivity,86,6,14.333333333333334,0.12790697674418605,Bad,0,2020-02-13T00:00:00Z,2021-12-17T00:00:00Z
SRA,Temperature,86,6,14.333333333333334,0.9767441860465116,Good,2,2020-02-13T00:00:00Z,2021-12-17T00:00:00Z
SRA,Turbidity,53,6,8.833333333333334,0.9245283018867925,Good,2,2020-02-13T00:00:00Z,2021-12-17T00:00:00Z
SUP,Dissolved Oxygen,17,1,17,1,Good,2,2018-08-17T00:00:00Z,2021-12-16T00:00:00Z
SUP,pH,17,1,17,1,Good,2,2018-08-17T00:00:00Z,2021-12-16T00:00:00Z
SUP,Specific Conductivity,17,1,17,0.058823529411764705,Bad,0,2018-08-17T00:00:00Z,2021-12-16T00:00:00Z
SUP,Temperature,17,1,17,1,Good,2,2018-08-17T00:00:00Z,2021-12-16T00:00:00Z
SUP,Turbidity,5,1,5,0.6,NA,NA,2019-12-12T00:00:00Z,2021-12-16T00:00:00Z
WAL,Dissolved Oxygen,199,8,24.875,0.9396984924623115,Good,2,2018-08-24T00:00:00Z,2021-12-17T00:00:00Z
WAL,pH,199,8,24.875,1,Good,2,2018-08-24T00:00:00Z,2021-12-17T00:00:00Z
WAL,Specific Conductivity,199,8,24.875,0.02512562814070352,Bad,0,2018-08-24T00:00:00Z,2021-12-17T00:00:00Z
WAL,Temperature,199,8,24.875,0.9346733668341709,Good,2,2018-08-24T00:00:00Z,2021-12-17T00:00:00Z
WAL,Turbidity,172,8,21.5,0.8488372093023255,Marginal,1,2018-09-14T00:00:00Z,2021-12-17T00:00:00Z
WIL,Dissolved Oxygen,45,4,11.25,0.9333333333333333,Good,2,2018-11-09T00:00:00Z,2021-12-16T00:00:00Z
WIL,pH,48,4,12,1,Good,2,2018-08-16T00:00:00Z,2021-12-16T00:00:00Z
WIL,Specific Conductivity,48,4,12,0.14583333333333334,Bad,0,2018-08-16T00:00:00Z,2021-12-16T00:00:00Z
WIL,Temperature,48,4,12,1,Good,2,2018-08-16T00:00:00Z,2021-12-16T00:00:00Z
WIL,Turbidity,15,4,3.75,0.6666666666666666,NA,NA,2019-08-20T00:00:00Z,2021-12-16T00:00:00Z
